;quote;author;book;category
20516;if you want to search , search who care about you,Don't search person for use ,those who want use they will search you self.;Mohammed Zaki Ansari;" ""Zaki's Gift Of Love""";love
11610;True love doesn’t exist, for, love is always true. If it is not true, then it is not love at all.;Ashmita Acharya; The Beginning: The Tears of My Heart;love
2973;Your goals should not be based on what you can do or what is possible but on what you want.;Mensah Oteh; The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life;love
4873;"In essence, we are deeper than being; we are character, which contains the conscious forces of love, justice, kindness, faith, and forgiveness.";Garey  Gordon; The Values Pursued Life: Excellence and Greatness from Within;love
6724;And then Luke had appeared, like a gust that had come to teach me that in life, there was nothing more precious than life itself.;Liz Thebart; Walk Away;love
8304;We will share each other’s burdens with love and kindness.;Lailah Gifty Akita; Think Great: Be Great!;love
4509;And the stars blinked as they watched her carefully jealous of the way she shone.;Atticus Poetry; Love Her Wild: Poems;love
3901;...to understand infatuation, how the loved person can become a holding pattern for all the tattered ends of memory, experience and thought you've ever had.;Chris Kraus; I Love Dick;love
16029;My father once told me love is magic, sir.;Victoria Alexander; Seduction of a Proper Gentleman;love
6751;A healthy marriage acts as the vessel of wellbeing and stability for both partners as well as the children.;Abhijit Naskar; Wise Mating: A Treatise on Monogamy;love
27873;When the things get hard, there is a success near about.;Lovely Goyal; I Love the Way You Love Me;love
13360;"[S]he believed that the Buddhists were right–that if you want, you will suffer; if you love, you will grieve. (68)";Anne Lamott; Crooked Little Heart;love
5339;I realize the thing about a guy you've spent your whole life loving from afar is that even though he's real you've really made most of him up.;Kirsten Smith; The Geography of Girlhood;love
7695;Are you living your dream or someone’s dream?;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
12036;Cupid and Bacchus my saints are,May drink and love still reign,With wine I wash away my cares,And then to cunt again.;John Wilmot; Poems;love
3879;There is only one happiness in life. To love, and to be loved;Shilpi; Hangover;love
6560;My body is holy temple.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
2792;If two people are meant for one another, that doesn't mean that they have to rush and be together right away. Real love takes time to grow, just like how it takes time to grow from children to adults.;Jonathan Anthony Burkett; Friends 2 Lovers: The Unthinkable;love
23716;Your charming smile makes me travel to the realm of the stars.;Kristian Goldmund Aumann; Love Poems: Love Conquers All;love
24567;Death. It's around more than people realize. Because no one wants to talk about it or hear about it. It's too sad. Too painful. Too hard. The list of reasons is endless.;Jessica Sorensen; Nova and Quinton: No Regrets;love
324;When you love someone, you say their name different. Like it's safe inside your mouth.;Jodi Picoult; Handle with Care;love
21519;"It's not how long you see something. It's how you intensely you feel it""From Central Park Song: a Screenplay";Zack Love; Stories and Scripts: an Anthology;love
17281;May every day of the New Year be filled with glorious wonders.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
19944;I carried around five tons of pain where she used to be.;C.D. Reiss; Marriage Games;love
18503;"Please, Katsa,"" he finally said. ""At least talk to me"".She swung around to face him. ""What it there to talk about? You know how I feel, and what I think about it.""""And what I feel? Doesn't it matter?";Kristin Cashore; Graceling;love
13078;Self-improvement without self-love is like building a house upon sand. You can build and build, but it will always sink.;Vironika Tugaleva; The Love Mindset: An Unconventional Guide to Healing and Happiness;love
16675;It is an exciting adventure, doing what you love.;Lailah Gifty Akita; Think Great: Be Great!;love
15656;Oh.My. Every illegal swear word in the dictionary, God. What is it with older men? don't they ever look in the mirror?;Diane Messidoro; How to Keep a Boy as a Pet;love
8938;When you focus your attention more on your dreams and goals and less on the opinions of others, you are capable of achieving success. No one knows the desires of your heart better than you.;Amaka Imani Nkosazana; Release The Ink;love
18078;Everything in the universe is nothing but consciousness. Which makes us all ONE!;Abhishek Kumar; Stardust Family - We Are One!;love
6963;I don’t think you remember me as well as I remember us;Sapan Saxena; Unns-The Captivation;love
1570;A man always finds it hard to realize that he may have finally lost a woman's love, however badly he may have treated her.;Arthur Conan Doyle; The Musgrave Ritual;love
26562;He had never imagined that a man in love could be so lonely.;Rosalind Lauer; A Simple Autumn;love
22015;Distance creates love;Deepak Rana; Sky Beyond the Clouds;love
13530;slow it isa slow businessto grow a few wordsto say love;Anselm Hollo; Maya: Works, 1959 1969;love
1811;You don't fall in love with someone because it's convenient.;Harriet Evans; A Hopeless Romantic;love
16729;Never condemn yourself. Always affirm positive words into your life.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
17617;People who fall in love can fall out of it.;Philip Beard; Dear Zoe;love
2222;Minds, however, are conquered not by arms, but by love and nobility.;Baruch Spinoza; Ethics;love
5573;You keep playing with what broke you,then wonder why you don’t heal.Leave the wound alone,throw away the poison,and watch the magic of recovery.Your wings of wisdom are ready for flight.;Melody  Lee; Moon Gypsy;love
2052;Love is larger than the walls which shut it in.;Corrie ten Boom; The Hiding Place: The Triumphant True Story of Corrie Ten Boom;love
9342;I will deny thee nothing: Whereon, I do beseech thee, grant me this, To leave me but a little to myself.;William Shakespeare; Othello;love
409;Her heart was a secret garden and the walls were very high.;William Goldman; The Princess Bride;love
1158;Love simply is.;Paulo Coelho; The Witch Of Portobello;love
10223;The passion I feel for you is more than you’re prepared for. - Eric;Kailin Gow; The Phantom Diaries;love
12658;Misunderstandings arise only in undefined relationships;Anuradha Bhattacharyya; The Road Taken;love
1915;There will be no more British guys. Unless they are members of the royal family, of course. ;Meg Cabot; Queen of Babble;love
9090;... the possibility of pain is inherent in the very existence of a world where souls can meet.;C.S. Lewis; The Problem of Pain;love
9658;"To ensure health in mind, body and spirit; increase giving and receiving love.";Renae A. Sauter; An Empowered Life: Mind/Body/Spirit Empowerment;love
20065;She had worried she would break if her heart broke, but she wasn't broken. She had lost everything, but she was not lost. It seemed a worthwhile thing to know.;Sarah Rees Brennan; Untold;love
22089;I was perfectly happy in my boring life before you came along.;Elizabeth Gilbert; Eat, Pray, Love;love
10477;God knows your every need.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
1871;You have been with me from the very first life. You are my first memory every time, the single thread in all of my lives. It`s you who makes me a person.;Ann Brashares; My Name Is Memory;love
23622;Sexual thoughts float through a man’s brain many times a day, while on the contrary a woman has them only one to four times a day.;Abhijit Naskar; Neurosutra: The Abhijit Naskar Collection;love
22014;On a cloudy night, when nothing seems above, still, there is love. Always love. For something, from someone. It's never done. Never.;Deepak Rana; Sky Beyond the Clouds;love
2650;The Fur Person learned then and there that it is better to be a philosopher than to be a king and that, all things considered, wisdom was to be preferred to power.;May Sarton; The Fur Person;love
9529;Love is the key to heart.;Lailah Gifty Akita; Think Great: Be Great!;love
2347;Grief, no matter how you try to cater to its wail, has a way of fading away.;V.C. Andrews; Flowers in the Attic;love
14161;Love is an uphill climb, but once you know yourself and like yourself just as you are, it's all downhill from there.;Valerie Frankel; The Girlfriend Curse;love
5631;In case you didn't know... You are her. The one he let get away.;Alfa H; Abandoned Breaths;love
5807;We would not want the joy of physical and sexual intimacy to fade after years together. We need to also remember to keep our intellectual and emotional intimacy every bit as sacred.;Cathy Burnham Martin; The Bimbo Has Brains: And Other Freaky Facts;love
12108;If it was possible for two people to make sparks, simply by connecting at their lips, I would think we would have been a firework display in the dark.;Kristen Hope Mazzola; Crashing Back Down;love
27595;"And this,"" cried Darcy, as he walked with quick steps across the room, ""is your opinion of me! This is the estimation in which you hold me! I thank you for explaining it so fully.";Jane Austen; Pride and Prejudice;love
15230;Self-love, self-confident and self-determination.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
20933;"I want to kiss you so very badly, Rose. But I can't. And its killing me""-Mr. Stone";Kate Bloomfield; Alpha Girl;love
14509;The birth of a child is supernatural spiritual event.;Lailah Gifty Akita; Think Great: Be Great!;love
13245;A writer is never alone, he is always with himself;Bangambiki Habyarimana; Pearls Of Eternity;love
15508;...anyone looking for friends without faults shall remain friendless. The choice is yours.;Holly Lynn Payne; DAMASCENA - The Tale of Roses and Rumi;love
11267;You have corrupted my imagination and inflamed my blood...;Leopold von Sacher-Masoch; Venus in Furs;love
5179;My faith gives me the ability to say, whatever is next, I'm ready. If it is Hillary or Trump I am ready because they might sit on the desk but they do not sit on the throne.;Patience Johnson; Why Does an Orderly God Allow Disorder;love
12052;After making love there is nothing like making love, slowly, idly, like walking without a destination, or swimming in a warm sea.;Chloe Thurlow; A Girl's Adventure;love
21247;Writing is the voice of the heart' Julia Suzuki;Julia Suzuki; Yoshiko and the Gift of Charms;love
22905;Look at this lot - how we all threw ourselves into a fight just for him. We're not soldiers. But we know that what we do when we're with him matters.;Scott Tipton; Doctor Who: Prisoners of Time;love
23472;Love what you do!;Lailah Gifty Akita; Think Great: Be Great!;love
27126;Raw love, like raw heart-ache, could blindside you.;Jodi Picoult; Salem Falls;love
20920;Ah, such a good pretty one.' There was a pause, 'You even got yourself dressed up.;Charlotte Munro; The Lockharts;love
2087;One can be very much in love with a woman without wishing to spend the rest of one's life with her.;W. Somerset Maugham; The Painted Veil;love
22433;Talon thought kissing Flit to shut him up might be a good idea. He was wrong. It was a fucking great idea.;Agatha Bird; Like a Sparrow Through the Heart;love
8260;Love is the ecstasy of life.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
23819;She could be a fire hazard. Maybe we should remove her from the ship before she spontaneously combusts.;Marissa Meyer; Wires and Nerve, Volume 1;love
7269;Do you know what the difference is between Friendship and Love? Friendship is the photograph, Love is the oil painting.;Frank Delaney; The Matchmaker of Kenmare;love
11998;Potential enemies make the best friends and lovers. Many a blessed union begins in adversity.;Randy Thornhorn; The Kestrel Waters;love
7360;Boy, did she love those idiots.;Emory R. Frie; Neverland;love
3070;Love and compassion are the mother and father of a smile. We need to create more smiles in our world today. Smiles, after all, pave the way to a happy world.;Steve Maraboli; Life, the Truth, and Being Free;love
12426;Thank you for existing.;Truth Devour; Unrequited;love
2315;It was hard to live normally when you were constantly pretending you didn't see what was going on in front of your face.;Cassandra Clare; Lady Midnight;love
2565;Many things are impossible for men to do alone, but everything is possible with God. Regardless of how big your errors might have been, you will find forgiveness when you truly seek for it.;Dragos Bratasanu; Ph.D.;love
1509;I asked you here tonight because when you realise you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible.;Graeme Simsion; The Rosie Project;love
18375;I'd love to promise a lifetime to you. I just don't have one to give.;Kelly Rimmer; Me Without You;love
26704;And always, I could see that, despite his weakness for her or because of it, he seemed uncatchable, as if he might slip away at any moment.;Jodi Lynn Anderson; Tiger Lily;love
14845;When someone you love dies, part of you dies with them. It's why your never the same after losing someone.;Shannon Messenger; Let the Sky Fall;love
18481;Go fuck a monkey, Ferro. I don't have time for you or your fake sincerity.;H.M. Ward; The Wedding Contract;love
25407;You of the North in general take love too soberly and seriously. You talk of duties where there should be only a question of pleasure.;Leopold von Sacher-Masoch; Venus in Furs;love
5927;All of Christ’s philosophical ideas can be compressed into one simple phrase – Love thy neighbor.;Abhijit Naskar; Neurons of Jesus: Mind of A Teacher, Spouse & Thinker;love
15965;In the sea of my emotions, his presence is like a pearl in the oyster. Very hard to locate, yet very precious and still beautiful.;Mehek Bassi; Chained: Can you escape fate?;love
13217;She had a destiny, and it was wonderful, every girl’s dream. Like Sleeping Beauty, awoken from a deep sleep by a charming vampire, Lena would have her very own fairy tale.;Amber Belldene; Blood Entangled;love
14506;God be thy comfort.God loves you.God will take care for you.;Lailah Gifty Akita; Think Great: Be Great!;love
2780;You are just as connected to the Universe as a finger is to a hand, or as a branch is to a tree. The entire cosmos is expressing itself through your being.;Joseph P. Kauffman; The Answer Is YOU: A Guide to Mental, Emotional, and Spiritual Freedom;love
4003;True comfort in grief is in acknowledging the pain, not in trying to make it go away. Companionship, not correction, is the way forward.;Megan Devine; It's Ok That You're Not Ok: Meeting Grief and Loss in a Culture That Doesn't Understand;love
10110;To esteem what makes you holy over what makes you happy - that is the greatest dare.;Criss Jami; Healology;love
3960;I feel a resurgence of my 6-year-old self… that little warrior, goddess of a girl reminding me of who I was when I was little, before the world got its hands on me.;Jennifer Elisabeth; Born Ready: Unleash Your Inner Dream Girl;love
2299;But my memories are like a fire in winter—whenever I'm cold I can warm my hands at them.—Ditta;Madeleine L'Engle; The Joys of Love;love
8789;One good, compassionate and caring Self is a thousand times greater than all the fanciful, imaginary supernatural entities in the world.;Abhijit Naskar; Principia Humanitas;love
19869;Brotherly love is Godly love.;Lailah Gifty Akita; Think Great: Be Great!;love
24559;The world slides, the world goes, and death makes equal the rich and the poor;Bangambiki Habyarimana; Pearls Of Eternity;love
6438;She was lucky to be wanted not desired though, worse pain is the feeling of being unwanted in love.;Pushpa Rana; Just the Way I Feel;love
24923;There's nothing wrong with the fire.. if you don't get too close. - Patch;Becca Fitzpatrick; Hush, Hush;love
20982;Beauty lies in one’s heart and sex lies in one mind. It all depends on where your belief lies.;Ravindra Shukla; A Maverick Heart: Between Love and Life;love
8125;For the first time she knew and loved the Spirit of good and beauty, an affinity to which affords the greatest bliss that our nature can receive.;Mary Wollstonecraft Shelley; Lodore;love
12477;Lover of books, lover of knowledge.;Lailah Gifty Akita; Think Great: Be Great!;love
18987;Humans have nothing to do with angels and fairies, then why still I love you?;M.F. Moonzajer;" A moment with God ; Poetry";love
1863;She wanted to lose herself in him. To tie his arms around her like a tourniquet.If she showed him how much she needed him, he'd run away.;Rainbow Rowell; Eleanor & Park;love
27332;I will give you anything to say you want to stay, you want me too.Say you'll never die, you'll always haunt me.I want to know I belong to youSay you'll haunt me...;Stone Sour; Stonesour;love
3359;Love is a wild fire that cannot be contained by any mere element known to man.;Cristina Marrero; The Unsung Love Story;love
11302;Passion - eventually it cools.;Francesca Marciano; Casa Rossa;love
9560;I am completely dissolved in love.;Lailah Gifty Akita; Think Great: Be Great!;love
13461;The words we read and words we write never say exactly what we mean. The people we love are never just as we desire them. The two symbola never perfectly match. Eros is in between.;Anne Carson; Eros the Bittersweet;love
23015;"I love you"", once you say this sentence to a girl, it signifies that you have a responsibility towards her.";Yixing Zhang; 而立·24;love
22725;but darling if he loved you, would he want to see you cry?;Nikki Rowe; Once a Girl, Now a Woman;love
18521;You don't have to apologize for your feelings. You can't make yourself fall in love with somebody.;Jessica Spotswood; Wild Swans;love
27478;Is there ever a time you’re not an arrogant bastard?”“Is there ever a time you’re not a difficult bitch?”“No.”“Then I guess that makes us perfectly matched, now doesn’t it?;G.A. Aiken; About a Dragon;love
21297;When we allow ourselves to experience unconditional love in our lives, what we are able to know, see, feel, hear, and access is actually unlimited, unbounded by time.;Catherine Carrigan; What Is Healing? Awaken Your Intuitive Power for Health and Happiness;love
27243;Common sense got drunk and giddy when Olivia was on the premises. Maybe he should just raise a glass, too, and dub reason a lost cause.;Kelly Moran; Redemption;love
8029;I'm not just going to love you, I'm going to love every version of you, everything you will become, everything you will grow and change into.;Veronica Larsen; Entangle;love
20608;"Ego, being love's kryptonite; two souls must be on the same page of humility.";T.F. Hodge;" From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with ""The Divine Presence""";love
24827;You can see I have no will to stay away from you, no tolerance to live without you.;Amanda Lance; Endangered Hearts;love
15929;As long as Simon didn’t think about the past, the past couldn’t hurt him. But, increasingly, he couldn’t help himself.There was too much pleasure in the pain.;Cassandra Clare; The Evil We Love;love
21687;We love and reason because God Loves and reasons and holds our hand while we do it.;C.S. Lewis; The Business of Heaven: Daily Readings from C. S. Lewis;love
8626;All that exists is the present moment;Alaric Hutchinson; Living Peace;love
6109;What was worse, he couldn't tell her how much he thought he maybe might kinda sorta love her.;Gena Showalter; Seduce the Darkness;love
2455;As fallible humans, we usually slip too far over one edge or the other - all wrath and judgment or all grace and love.;Eric Wilson; A Shred of Truth;love
21402;He’s a lovely guy, but there’s no spark between us whatsoever. It just goes to show, that even with all their fancy assessment tools, the government can’t legislate for chemistry.;Siobhan Davis; True Calling;love
317;Because, if you could love someone, and keep loving them, without being loved back . . . then that love had to be real. It hurt too much to be anything else.;Sarah Cross; Kill Me Softly;love
8039;Give time, give space to sprout your potential. Awaken the beauty of your heart – the beauty of your spirit. There are infinite possibilities.;Amit Ray; Nonviolence: The Transforming Power;love
23751;My eyes fall on you like a singing veil from the days of rebirth.;Kristian Goldmund Aumann; Love Poems: Love Conquers All;love
28039;Have you ever experienced human love?”“Yes. Once.”Regret shadowed his face. “Then why would you be willing to repeat it?”“What we learn is worth more than what we lose.;Elizabeth Langston; Wishing for You;love
14474;Plus, once he did the requisite double-take and recognized me, he’d probably beat the crap out of any guy who looked at me in all my Snow White meets Frederick’s of Hollywood glory.;Katja Millay; The Sea of Tranquility;love
14069;Pain of the past never goes away, you just find a way to deal with it. And in the future....... all the promise it holds.... that's what keeps you moving forward, and out of the darkness.;Samantha Towle; Trouble;love
505;How far would you go to keep the hope of love alive?;Nicholas Sparks; The Choice;love
12631;Xavier was like some sort of sex drug that numbed my mind and clouded it. He made me stupid.;Kathey Gray; He Loves Me...;love
21085;Karma Yoga is mindful service to the humanity with love and respect.;Amit Ray; Yoga The Science of Well-Being;love
20997;I believe that the ‘love of your life’ is just a person that you chose. You choose them because you believe that they’re it.;Dawn Lanuza; The Boyfriend Backtrack;love
12336;The Bible is the ultimate book of wisdom and advice.;Elizabeth George; Prayers to Calm Your Heart: Finding the Path to More Peace and Less Stress;love
12146;…she was afraid of how he made her feel, because he made her feel way too much;Justine Dell; All-American Girl;love
28285;There it was, happiness in a backward glance: happiness and the certainty of hope.;Samantha Bruce-Benjamin; The Westhampton Leisure Hour and Supper Club;love
27161;Marriage is a marriage- love or arranged. Both require the same level of commitment.;Swati Kumar; The Great Indian Dilemma;love
25880;Jealous is an ugly thing.;Jennifer L. Armentrout; Sentinel;love
22711;We’ve gotten to that stage all soulmates reach of speaking in broken phrases and incomplete sentences, our connected and all-knowing minds filling in the blanks left by redundant words.;A.J. Compton; The Counting-Downers;love
16832;Walk through pain, face it, lay down in it and rest. Get up and walk again, repeat until you reach the end.;Juls Amor; THE YEAR OF THE FROG;love
